,subject,reward,audience
0,cyber1679yrs8dmska7wcsawgy2m25kwucm3z0nks9ze,264078762041.0,masters
1,cyber1zy553za8nenzukmv65240323jhuvxzym3evpec,44831928383.0,masters
2,cyber1stfw0z5nf2ncxxtrk7zndpf2dla3nh37ppm40e,36938756433.0,masters
3,cyber147rnn0rxqkythj4j9ccq0kytmh7f005rhhw240,30186983650.0,masters
4,cyber15zs0cjct43xs4z4sesxcrynar5mxm82ftu9vgv,29730581092.0,masters
5,cyber18naxcfp2s397a2ucav2m53f003uylk3qxa6h5r,26611568430.0,masters
6,cyber152m9xcx0ht7yxr5834ju7qjcyvetw8amfhxxkn,25296563469.0,masters
7,cyber1ymprf45c44rp9k0g2r84w2tjhsq7kalvplsnkk,11978014123.0,masters
8,cyber16yf94eecl6h44l5w7zp75skh3rg0k4vee549dh,10185396846.0,masters
9,cyber1en69twaxmv7xupy8lq7y539dpecx7yz8vh9u7k,5528676770.0,masters
10,cyber1hmkqhy8ygl6tnl5g8tc503rwrmmrkjcq4878e0,4614693334.0,masters
11,cyber1s2a7rckcky6jmhncxwy0xtwf2ymg87pujzp64l,2752947960.0,masters
12,cyber1udal5nr3lz7mg7j7k79se4rz0tsjj8lu8d8mjc,2666930610.0,masters
13,cyber19ys53t55r725j882gjcrnf7s449gdrds40evtg,1274549312.0,masters
14,cyber1n55zyf6wlvh8jp4wxqgx4ta283jx0e2nwn0slx,984682627.0,masters
15,cyber1lnkg57t7mvg5mcl7kdkevtgr9wlf6f9q0e5p8t,322859641.0,masters
16,cyber1dt9lwmuq8rkngm5gajxchqhpcnavgp7mfal7ac,321681321.0,masters
17,cyber1glgevt43557u6s7a2q9q40kzt8myw4ngu5f458,309112576.0,masters
18,cyber1mj0sj4eaar5qnjn3l05ep5wgq3l6agtvgcahnt,226237413.0,masters
19,cyber1wnpak7sfawsfv9c8vqe7naxfa4g99lv764drcl,192458910.0,masters
20,cyber1cjyv02cja896rr5y5lks79enk2nretn3lchrdc,175176885.0,masters
21,cyber1sm9sq4wnn62tk5yz0x3fvvx2ea9efguq2578dg,128044091.0,masters
22,cyber1a4mzr2y2g0cc9f0uhyeh3ftmsfxzqwxffcckf9,119010306.0,masters
23,cyber1qn8sr2hzmktlecusdtxj9hwj0upnm0jf0arg27,93872815.0,masters
24,cyber190y8vwhmyjdnk7cfutcm7u8haw80xyejfk4thz,56952126.0,masters
25,cyber1rfh303jsl5297sxgs5txpt97lvxpjt4hafhlr7,54988260.0,masters
26,cyber1cg79pj70mgl8xlum0rw5yy6enk9jszsrx5al8w,49096661.0,masters
27,cyber1gw5kdey7fs9wdh05w66s0h4s24tjdvtcp5fhky,43597835.0,masters
28,cyber177y7sqkxmvl22j632haf8y9gv0j3weds5c8qrj,28672450.0,masters
29,cyber12u6qgyrdsy4xmw04vfkkkh9a9tqzw66gsay86k,27886903.0,masters
30,cyber1p0r7uxstcw8ehrwuj4kn8qzzs0yypsjwzs7wzf,26708583.0,masters
31,cyber1pjvkddp4fmx8ym5j7s7su8kn3zuqj255f2369q,22780851.0,masters
32,cyber16macu2qtc0jmqc7txvf0wkz84cycsx72r9y539,16103705.0,masters
33,cyber13nrdf490fsuv4rwjp02hlyvalqjkn5u6z7nhhl,14925385.0,masters
34,cyber1fp9q2t9zn9gr5qjh9wljxuavtcsc4h8uysqqay,12175972.0,masters
35,cyber1u2s32xsws9y2sskz6zvn7lawepdqxad5fqrln8,10212105.0,masters
36,cyber158mysantvvk7x65tfhhuu8q2va4ls34rsdydf6,9819332.0,masters
37,cyber1d8754xqa9245pctlfcyv8eah468neqzn49ulck,7069919.0,masters
38,cyber1ucl2c39dpwqm9pp6cvmlazn2tkwavszh5jdfj8,5891599.0,masters
39,cyber1clalfxmsrqdgnqq5uxlx0mc983pyp3wq37v5x9,4713279.0,masters
40,cyber1wf8alywyvlxy2dqfe38efdpdmuscfpf4k7lnd7,4320506.0,masters
41,cyber13zf8kghx7h5fyttk6xdnjqn9c87z0rd37g6m9n,4320506.0,masters
42,cyber1sng0f47cuvx6edxaujh24wc3dvk94q0w7mftv2,3927733.0,masters
43,cyber1hyjhy0tp6geral2g9vj9nyteglf8t5q4ws6mx0,3927733.0,masters
44,cyber1cc43k76udpd3xvpn6md76zz3ru6nvcnrapm3wa,3927733.0,masters
45,cyber1l5x6kerswths5xl0d6672y9yyn9mg2vwru30ja,3142186.0,masters
46,cyber1qe4sguqg8ztlyy7psf7lzwr4ahph9j36jvyyul,2749413.0,masters
47,cyber1mn8ev805fde2xswght0snwfayfj9tn54fnew44,2749413.0,masters
48,cyber16vc2mjjfxx2h5m6jpdp4nqfu5095qaeeyjdm30,2749413.0,masters
49,cyber1u3ap2d4ytcqrr6jlsjf380g3lvgldq4m7dr964,2356640.0,masters
50,cyber1pmaltcu0x97x8j5klc8xluaapkzcvztchjldvn,2356640.0,masters
51,cyber1jmhqgld7luvuhh42wac24z6nlggjvkc7d6mtdh,2356640.0,masters
52,cyber1qjknpllzp6w6qsxxjx52zxald29wpyzlk6qe63,1571093.0,masters
53,cyber1mnrwpdlnglhtqwa55fa66va0j3fv72nvj6xzam,1571093.0,masters
54,cyber1eq2h9enjxsg5s08scr69lzwde8fl79sn2juk06,1571093.0,masters
55,cyber1dx8mvxfu6mpfnjehvdkp9lsvu78ek2gj8xs9d8,1571093.0,masters
56,cyber19uryr2zuxcfdevfq429jng9a2evxwadl5wh5z9,1571093.0,masters
57,cyber16862syzdtc6h0sxz92jhnjjas5yhhjgzgu24es,1571093.0,masters
58,cyber1teuan269feyw4ax94jfp4pcgrhqnn28gz73uvn,1178320.0,masters
59,cyber1ggc9sqvj0uhnzwxu5dyzcr05shwd2vv2vynq2d,1178320.0,masters
60,cyber1duc9gthaeg82lx9pdf642g043xqhgxgxl3l48l,1178320.0,masters
61,cyber1yvlp9gzqaufwz02swp5wqsqhlmfcrcl8ljen4x,785547.0,masters
62,cyber1latzme6xf6s8tsrymuu6laf2ks2humqvdq39v8,785547.0,masters
63,cyber1ec9da8avgv7tnvsx3v8g8veqrhlqq26lhttnrk,785547.0,masters
64,cyber1e20hw2pqcgxvumkwn2qeeavcrswzskzjnmexhj,785547.0,masters
65,cyber1c7pv6zyza76f3yhv0zvjc042e8m7w796yrld8y,785547.0,masters
