,subject,reward,discipline,audience
0,bostrom1xszmhkfjs3s00z2nvtn7evqxw3dtus6yr8e4pw,57941598028922.0,cybercongress,hackers
1,bostrom1xszmhkfjs3s00z2nvtn7evqxw3dtus6yr8e4pw,57941598028923.0,cybercongress,masters
2,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,350000000000000.0,gift,citizens
3,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,20000000000000.0,gift,cyberpunks
4,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,70000000000000.0,gift,hackers
5,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,20000000000000.0,gift,cosmonauts
6,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,20000000000000.0,gift,leaders
7,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,30000000000000.0,gift,investors
8,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,130000000000000.0,gift,masters
9,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,50000000000000.0,gift,heroes
10,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,10000000000000.0,gift,swindlers
11,bostrom1quchyywzdxp62dq3rwan8fg35v6j58sjwnfpuu,400000000000.0,gol.comm_pool,hackers
12,bostrom1x95keq9l9y9p7hjdt6xd8wnknrpnjsqrqhpwc9,150000000000.0,gol.comm_pool,hackers
13,bostrom1z98eg2ztdp2glyla62629nrlvczg8s7fvc0znp,100000000000.0,gol.comm_pool,hackers
14,bostrom1xvssufw8ke03halg8wgu8m994ktxz0y9vm6tqn,100000000000.0,gol.comm_pool,hackers
15,bostrom1vxxfhd8txmrq76jx3gj7sdrvg0vvqret6kxpgd,100000000000.0,gol.comm_pool,hackers
16,bostrom1vtu55cc7m6yz9zfg5vqdk80f2g68petgzj9fv4,100000000000.0,gol.comm_pool,hackers
17,bostrom16yf94eecl6h44l5w7zp75skh3rg0k4veavx762,15000000000.0,gol.comm_pool,hackers
18,bostrom1gxyf6tsjamnavmkfk43mwfzwscn4tgfkz8k85n,5000000000.0,gol.comm_pool,hackers
19,bostrom1ymprf45c44rp9k0g2r84w2tjhsq7kalv98rgpt,47418074597.0,gol.delegation,heroes
20,bostrom1f7nx65pmayfenpfwzwaamwas4ygmvalq2q2ayq,47095487433.0,gol.delegation,heroes
21,bostrom1daxxqs56f6j5qxxtjrjkexghsmnaj66tejshc8,45885621564.0,gol.delegation,heroes
22,bostrom1hmkqhy8ygl6tnl5g8tc503rwrmmrkjcq3lduwj,44520253098.0,gol.delegation,heroes
23,bostrom1ke7kxdn29w2lrxt9dzusa6shvmwd8xm9gxm2zf,37576877634.0,gol.delegation,heroes
24,bostrom152m9xcx0ht7yxr5834ju7qjcyvetw8amd04apw,26069696989.0,gol.delegation,heroes
25,bostrom1zy553za8nenzukmv65240323jhuvxzym4pl6w9,22107148994.0,gol.delegation,heroes
26,bostrom177y7sqkxmvl22j632haf8y9gv0j3wedssq5m50,20500567008.0,gol.delegation,heroes
27,bostrom1argjwgcplguenq4l92ggn06wadnfrz0ecqrmqs,20472680990.0,gol.delegation,heroes
28,bostrom1ccvpcq9ffy0qd2ca8nmmpzfamtyjfc9znwak8m,19689711316.0,gol.delegation,heroes
29,bostrom1en69twaxmv7xupy8lq7y539dpecx7yz8g0k8ft,18669971823.0,gol.delegation,heroes
30,bostrom15zs0cjct43xs4z4sesxcrynar5mxm82f0ykhl3,15464386326.0,gol.delegation,heroes
31,bostrom18naxcfp2s397a2ucav2m53f003uylk3qz9fvr7,15259397818.0,gol.delegation,heroes
32,bostrom1njsr8tngxtygsc73mrtn5738ztkzqy7c7y7h3t,15230667266.0,gol.delegation,heroes
33,bostrom1stfw0z5nf2ncxxtrk7zndpf2dla3nh379egwcy,11914393376.0,gol.delegation,heroes
34,bostrom147rnn0rxqkythj4j9ccq0kytmh7f005rn0a3zj,11199572491.0,gol.delegation,heroes
35,bostrom1dt9lwmuq8rkngm5gajxchqhpcnavgp7md9v929,9987047512.0,gol.delegation,heroes
36,bostrom12psudf4rpaw4jwhuyx3y8sejhsynae7gv53hn6,9428419501.0,gol.delegation,heroes
37,bostrom1402rpwdquxxkgvl740f6w69l65eau5vkqcvrax,7159491819.0,gol.delegation,heroes
38,bostrom1mnfalar08dsvtwutmh43lnhx2zzmq7xhdulemj,6402703804.0,gol.delegation,heroes
39,bostrom1mnqlcc7mslzxcf798acp80u2fxudsuzdn0px6s,5378290695.0,gol.delegation,heroes
40,bostrom1zeg2k7kd8qadmwd3kslwmag3erq7hqxt5aajjz,5135290206.0,gol.delegation,heroes
41,bostrom1nvr4qa7szsd3e7xfysn946gcqv5wyemlcxmxpw,5133236390.0,gol.delegation,heroes
42,bostrom1dxpm2ne0jflzr2hy9j5has6u2dvfv68calunqy,4744433641.0,gol.delegation,heroes
43,bostrom1lnkg57t7mvg5mcl7kdkevtgr9wlf6f9qtp86sk,4338666110.0,gol.delegation,heroes
44,bostrom1nywu6z26tpcrr2kcqe8z7t235wrfkhfcfhlzmk,4106198982.0,gol.delegation,heroes
45,bostrom1ke6pp2kq2wx74tlh5fxqgp7af6jtsna3kktuh6,4104967246.0,gol.delegation,heroes
46,bostrom1pswgrf5ap0kld3lpun5z4x08wh7nmgamd8mgex,3282151788.0,gol.delegation,heroes
47,bostrom1wt9h9wm3zf7yzsy68x7v8p973w02kw8yyurh55,2760107758.0,gol.delegation,heroes
48,bostrom1ucl2c39dpwqm9pp6cvmlazn2tkwavszhs27j96,2575695017.0,gol.delegation,heroes
49,bostrom1cjyv02cja896rr5y5lks79enk2nretn3mqyc69,2147705260.0,gol.delegation,heroes
50,bostrom16h7tyj5p69t3r7qasunf938cx2elp38fhqc7zr,2062295417.0,gol.delegation,heroes
51,bostrom1mnrwpdlnglhtqwa55fa66va0j3fv72nvkz4e2x,1737571043.0,gol.delegation,heroes
52,bostrom16w2xwdzf6tzucpwcjjqtg9656a4kkv7g2f6vk9,205345882.0,gol.delegation,heroes
53,bostrom1g2d9xyuf7ddgaj4llxvg50pfhlsr9ehf2r8dr6,154956147.0,gol.delegation,heroes
54,bostrom1fpl40sref5vp8kfm7xkqlq5qc0v4xrjvk89kwa,53188072.0,gol.delegation,heroes
55,bostrom1hmrxmc27fu4ggdpvpxqtahn6uvtj38vuu77a02,10268322.0,gol.delegation,heroes
