discipline,sum,count
cybercongress,115883196057845.0,2
gift,700000000000000.0,9
gol.comm_pool,970000000000.0,8
gol.delegation,500000000000.0,42
gol.lifetime,500000000000.0,57
gol.load,499999999996.0,74
gol.posthuman,16000000000.0,80
gol.relevance,500000000705.0,36
gol.sergeandmyself,287502378000.0,136
grants.cyberdbot,15000000000.0,51
grants.init_implementation,1000000000000.0,1
greatweb_foundation,50000000000000.0,1
heroes.euler4,5000000000002.0,76
heroes.pre_bostrom,149999999972.0,57
inventors,20000000000000.0,2
investors.genesis,40000000000000.0,21
investors.port,1810580449921.0,21
investors.takeoff,12141223492234.0,56
senate,50726497621325.0,1
