,subject,multisigs,pre_bostrom_heroes,comm_pool,cyberd_bot_sergey,delegation,euler-4,inventors,investors,lifetime,load,port,relevance,sergeandmyself_rewards,takeoff,posthuman_rewards,sum
0,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,700000000000000.0,,,,,,,,,,,,,,,700000000000000.0
1,bostrom1xszmhkfjs3s00z2nvtn7evqxw3dtus6yr8e4pw,115883196057845.0,,,,,,,,,,,,,,,115883196057845.0
2,bostrom1ha4pw9w2qgc2ce9jwfrwrmaft5fneus58nqwev,50000000000000.0,,,,,,,,,,,,,,,50000000000000.0
3,bostrom1qn8sr2hzmktlecusdtxj9hwj0upnm0jft9snar,,,,,,,,4000000000000.0,,93872815.0,1265001729654.0,,,4887205664742.0,,10152301267211.0
4,bostrom16230lc9r27vrxlzd4wlvcz2l66quzj84vlkxc5,,,,,,,10000000000000.0,,,,,,,,,10000000000000.0
5,bostrom1gxhs5wzam5rlgf6cs0lkme400ut64d4ncpfs2h,,,,,,,10000000000000.0,,,,,,,,,10000000000000.0
6,bostrom1m8yf3g2m9p7danjvt4ga6vzewy380pk52kcu9z,,,,,,,,4000000000000.0,,,,,,,,4000000000000.0
7,bostrom1pntx8ql2v7cqxu05etg8c4v0r2vz7qnq9uqmpy,,,,,,,,4000000000000.0,,,,,,,,4000000000000.0
8,bostrom1s4czxghmh29aw2ldynk8r9lnkfccw5ph8rjpxa,,,,,,,,4000000000000.0,,,,,,,,4000000000000.0
9,bostrom1qwzsnnuk2u6avvh059c9p50gqqquvcu5svvwrs,,,,,,,,4000000000000.0,,,,,,,,4000000000000.0
10,bostrom1g07gj9ph0r2hjx6ffqn8vl38u4agd5mpqx9m7f,,,,,,,,4000000000000.0,,,,,,,,4000000000000.0
11,bostrom1ttd4h585vgy29gj0xe0p338drvw9w4m4hzwj9p,,,,,,,,4000000000000.0,,,,,,,,4000000000000.0
12,bostrom1t3222ju7ssu58xsm3m2xw445p94cqn2qrex3vy,,,,,,,,2000000000000.0,,,,,,,,2000000000000.0
13,bostrom1edlrze5f48jjaw0wxcve4asqqf2tcjdl59ln8q,,,,,,,,2000000000000.0,,,,,,,,2000000000000.0
14,bostrom10c8znaj94y900syues06dz50hw6y9qpkhunn25,,,,,,,1000000000000.0,400000000000.0,,,,,,,,1400000000000.0
15,bostrom1s3lgc3mgy4ltwr796qk6j73xmau4njueds0mgu,,,,,,,,,,,,,,1340337491769.0,,1340337491769.0
16,bostrom10556xtnp39nvx3ec3yjafug662pyt6af84n477,,,,,,,,,,,,,,1304153455839.0,,1304153455839.0
17,bostrom1fe5mspz9jsq6p9hqqet86dwp276635l6gacspa,,,,200000000.0,,,,1000000000000.0,,,,,,,,1000200000000.0
18,bostrom1ngd5w7j4u5ar5xh7vzuwqqznnhhcjmnz0s6kpu,,,,,,,,1000000000000.0,,,,,,,,1000000000000.0
19,bostrom17a7xxqa4drnalvv7pkxrkxqer953fdke3ulwx4,,,,,,,,1000000000000.0,,,,,,,,1000000000000.0
20,bostrom10e3rqclgjz4m4fnx2c23jupcjpyuvyx3x4k7qj,,,,,,,,1000000000000.0,,,,,,,,1000000000000.0
21,bostrom1s4wntr9selfaznc2ezjkwnwt2y0terx9tqpda3,,,,,,,,1000000000000.0,,,,,,,,1000000000000.0
22,bostrom194pp2whvqynxnfyw5tqy8fzy2kxsugyrwsaynk,,,,,,,,1000000000000.0,,,,,,,,1000000000000.0
23,bostrom1ffve0zx389ffl80ae9t8jmghcjuzdlqr5eayfd,,,,,,,,,,,,,,701778551659.0,,701778551659.0
24,bostrom1ftah3e558ww7xutn5w8h7vrqa9v69pntztnr3p,,,,,,,,,,,,,,622444466499.0,,622444466499.0
25,bostrom1wnpak7sfawsfv9c8vqe7naxfa4g99lv77d7c0z,,,,,,,,,,192458910.0,658125569.0,1750177336.0,45500000000.0,469321209467.0,,517421971282.0
26,bostrom14nzyt8wmx4g6zkeluelukamgsh5v4xgnc25k6j,,,,,,,,400000000000.0,,,,,,108729659282.0,,508729659282.0
27,bostrom1sng0f47cuvx6edxaujh24wc3dvk94q0w6r6smh,,,,,,,,400000000000.0,,3927733.0,,,,74217807211.0,,474221734944.0
28,bostrom1quchyywzdxp62dq3rwan8fg35v6j58sjwnfpuu,,,400000000000.0,,,,,,,,,32771825520.0,,,,432771825520.0
29,bostrom1mcslqq8ghtuf6xu987qtk64shy6rd86a2xtwu8,,,,,,,,400000000000.0,,,,,,,,400000000000.0
30,bostrom1679yrs8dmska7wcsawgy2m25kwucm3z0hwr74y,,,,,,,,,,264078762041.0,,120664978934.0,,4225275377.0,,388969016352.0
31,bostrom1hmkqhy8ygl6tnl5g8tc503rwrmmrkjcq3lduwj,,4976065872.0,,,44520253098.0,294594691430.0,,,27210367043.0,4614693334.0,,10420579129.0,,,,386336649906.0
32,bostrom1ymprf45c44rp9k0g2r84w2tjhsq7kalv98rgpt,,3704750054.0,,,47418074597.0,249028568078.0,,,30517372757.0,11978014123.0,,26452621959.0,,,,369099401568.0
33,bostrom1d8754xqa9245pctlfcyv8eah468neqzn3a0y0t,,,,,,,,360000000000.0,,7069919.0,,232748525.0,,,,360239818444.0
34,bostrom1sgy27lctdrc5egpvc8f02rgzml6hmmvh5wu6xk,,,,,,,,,,,,,,359172486938.0,,359172486938.0
35,bostrom12psudf4rpaw4jwhuyx3y8sejhsynae7gv53hn6,,,,,9428419501.0,289014488663.0,,,21663954767.0,,,,,,,320106862931.0
36,bostrom178q202gz0093uke0jy96psyya452rt8apl4has,,,,,,285239999451.0,,,,,,,,,,285239999451.0
37,bostrom1cg79pj70mgl8xlum0rw5yy6enk9jszsrzvwysn,,,,,,,,,,49096661.0,947937939.0,,,278433789365.0,,279430823965.0
38,bostrom1w4tvyvf3hhpcwv9d4axa8n0mmj5d6ypvpq5mj6,,,,,,,,,,,278432605496.0,,,,,278432605496.0
39,bostrom13dpy00jest96g7h5vdgvg9zpxq6xnclh5hzw5l,,,,,,,,,,,,,,258229369437.0,,258229369437.0
40,bostrom1kr6udadsvdjymq6m75un4khg27t25st2jn8sag,,,,,,255496772589.0,,,,,,,,,,255496772589.0
41,bostrom1mdq5r6az6z8su68zj6px88j2ukr78ea4ggkzt6,,,,,,,,,,,,,,237448433882.0,,237448433882.0
42,bostrom1xk4a2u2rjt7mqu5eg8xtxk37l28r3cugkqk9lp,,,,,,,,,,,233157212646.0,,,,,233157212646.0
43,bostrom177y7sqkxmvl22j632haf8y9gv0j3wedssq5m50,,5313581537.0,,,20500567008.0,161772072332.0,,,24014339467.0,28672450.0,,16249193036.0,,,,227878425830.0
44,bostrom1w8ap0ns4d5fagjfwvph6t99uet0cwv6y6r03un,,,,,,200997782490.0,,,,,,,,,,200997782490.0
45,bostrom1svm5wl5jf4p7dwemj7wh0p4egr3js6rqtlnefu,,,,,,197153970492.0,,,,,,,,,,197153970492.0
46,bostrom1gnnd2eaeqpp6lsd34tnp6j0m85h6r9qg0wh3vr,,,,,,194917719034.0,,,,,,,,,,194917719034.0
47,bostrom1t0hmc79ht0qja92p6qgxn3ee3a3rzqutv7thqn,,,,,,188630461585.0,,,,,,,,,,188630461585.0
48,bostrom1ggc9sqvj0uhnzwxu5dyzcr05shwd2vv2guqmas,,1171125807.0,,,,180243413335.0,,,6732817375.0,1178320.0,,,,,,188148534837.0
49,bostrom12q68xfj4r00nxnjrqk742rf0z2w6jmwaeppvr0,,,,,,183750995527.0,,,,,,,,,,183750995527.0
50,bostrom1lepnu7nt05g79jtmfp2pgrpys3fjc4p74sc0l2,,,,,,,,,,,,,,182911039870.0,,182911039870.0
51,bostrom1zhy7l8phhpsm2c6xl9c5arcu0z90clynluwrw5,,,,,,161481707259.0,,,,,,,,,,161481707259.0
52,bostrom1d5lu67hu3lhqtw6zyv7uy4gkfpdtfnzxdu6mrq,,,,,,,,,,,,,,157995617348.0,,157995617348.0
53,bostrom1zy553za8nenzukmv65240323jhuvxzym4pl6w9,,728651051.0,,,22107148994.0,,,,13440309740.0,44831928383.0,,1160221687.0,,72024951997.0,,154293211852.0
54,bostrom1x95keq9l9y9p7hjdt6xd8wnknrpnjsqrqhpwc9,,,150000000000.0,,,,,,,,,,,,,150000000000.0
