,source,amount,sum
0,cybercongress,2,115883196057845
1,gift,9,700000000000000
2,gol.comm_pool,8,970000000000
3,gol.delegation,42,500000000000
4,gol.lifetime,57,500000000000
5,gol.load,74,499999999996
6,gol.posthuman,80,16000000000
7,gol.relevance,36,500000000705
8,gol.sergeandmyself,136,287502378000
9,grants.cyberdbot,51,15000000000
10,grants.init_implementation,1,1000000000000
11,greatweb_foundation,1,50000000000000
12,heroes.euler4,76,5000000000002
13,heroes.pre_bostrom,57,149999999972
14,inventors,2,20000000000000
15,investors.genesis,21,40000000000000
16,investors.port,21,1810580449921
17,investors.takeoff,56,12141223492234
18,senate,1,50726497621325
