,subject,reward
0,cyber1qn8sr2hzmktlecusdtxj9hwj0upnm0jf0arg27,1265001729654
1,cyber1w4tvyvf3hhpcwv9d4axa8n0mmj5d6ypv9c8q98,278432605496
2,cyber1xk4a2u2rjt7mqu5eg8xtxk37l28r3cugjc97gu,233157212646
3,cyber143x4d5wx50204zyreqg8ekgq3n3fcaxuu9teuu,9826875134
4,cyber1y83nga220nfjt9zz0mmqc90cd705az95hvtje0,9608859331
5,cyber1hyjhy0tp6geral2g9vj9nyteglf8t5q4ws6mx0,2184963106
6,cyber1d8mq46wt2yxsgwrmh6hhfgycl0537w8gvsqwf5,2182283065
7,cyber1p0r7uxstcw8ehrwuj4kn8qzzs0yypsjwzs7wzf,1992130580
8,cyber1duc9gthaeg82lx9pdf642g043xqhgxgxl3l48l,993141688
9,cyber1a4mzr2y2g0cc9f0uhyeh3ftmsfxzqwxffcckf9,972470487
10,cyber1xpl2sx64ra5san4su0r0hj8z9eh5cf5du5xuhq,970654649
11,cyber1hem3076xmat8ttr0cg0nnn2lghtc2p7x06jfsd,951329198
12,cyber1402rpwdquxxkgvl740f6w69l65eau5vkyqlc2m,949629027
13,cyber1cg79pj70mgl8xlum0rw5yy6enk9jszsrx5al8w,947937939
14,cyber18naxcfp2s397a2ucav2m53f003uylk3qxa6h5r,658690702
15,cyber1wnpak7sfawsfv9c8vqe7naxfa4g99lv764drcl,658125569
16,cyber1z8mlsd42eaguaqf5gexy5a7jxgpwpgvzpane7k,218609970
17,cyber1v2n3hg6s4resacgpemfyrd5hul2ntk7tdnqddp,218382779
18,cyber1s2a7rckcky6jmhncxwy0xtwf2ymg87pujzp64l,218362161
19,cyber1ufpz4dlnfawg0pr5dcq4hkrf9gs30mu0wxe6jn,218341548
20,cyber1mkhugmqg9c0qe27stz3m4my9xq7e9pctt2hcxu,218115192
