,subject,reward
0,cyber1ymprf45c44rp9k0g2r84w2tjhsq7kalvplsnkk,47418074597.0
1,cyber1f7nx65pmayfenpfwzwaamwas4ygmvalqwcexna,47095487433.0
2,cyber1daxxqs56f6j5qxxtjrjkexghsmnaj66ta2rv06,45885621564.0
3,cyber1hmkqhy8ygl6tnl5g8tc503rwrmmrkjcq4878e0,44520253098.0
4,cyber1ke7kxdn29w2lrxt9dzusa6shvmwd8xm9v7g345,37576877634.0
5,cyber152m9xcx0ht7yxr5834ju7qjcyvetw8amfhxxkn,26069696989.0
6,cyber1zy553za8nenzukmv65240323jhuvxzym3evpec,22107148994.0
7,cyber177y7sqkxmvl22j632haf8y9gv0j3weds5c8qrj,20500567008.0
8,cyber1argjwgcplguenq4l92ggn06wadnfrz0eucsqhd,20472680990.0
9,cyber1ccvpcq9ffy0qd2ca8nmmpzfamtyjfc9zhkwdsx,19689711316.0
10,cyber1en69twaxmv7xupy8lq7y539dpecx7yz8vh9u7k,18669971823.0
11,cyber15zs0cjct43xs4z4sesxcrynar5mxm82ftu9vgv,15464386326.0
12,cyber18naxcfp2s397a2ucav2m53f003uylk3qxa6h5r,15259397818.0
13,cyber1njsr8tngxtygsc73mrtn5738ztkzqy7c6udvxk,15230667266.0
14,cyber1stfw0z5nf2ncxxtrk7zndpf2dla3nh37ppm40e,11914393376.0
15,cyber147rnn0rxqkythj4j9ccq0kytmh7f005rhhw240,11199572491.0
16,cyber1dt9lwmuq8rkngm5gajxchqhpcnavgp7mfal7ac,9987047512.0
17,cyber12psudf4rpaw4jwhuyx3y8sejhsynae7ggvzvy8,9428419501.0
18,cyber1402rpwdquxxkgvl740f6w69l65eau5vkyqlc2m,7159491819.0
19,cyber1mnfalar08dsvtwutmh43lnhx2zzmq7xhfyvzv0,6402703804.0
20,cyber1mnqlcc7mslzxcf798acp80u2fxudsuzdhhjadd,5378290695.0
21,cyber1zeg2k7kd8qadmwd3kslwmag3erq7hqxts9wf9l,5135290206.0
22,cyber1nvr4qa7szsd3e7xfysn946gcqv5wyemlu7gakn,5133236390.0
23,cyber1dxpm2ne0jflzr2hy9j5has6u2dvfv68ce80ghe,4744433641.0
24,cyber1lnkg57t7mvg5mcl7kdkevtgr9wlf6f9q0e5p8t,4338666110.0
25,cyber1nywu6z26tpcrr2kcqe8z7t235wrfkhfcd0vevt,4106198982.0
26,cyber1ke6pp2kq2wx74tlh5fxqgp7af6jtsna3jwc8q8,4104967246.0
27,cyber1pswgrf5ap0kld3lpun5z4x08wh7nmgamflgnwm,3282151788.0
28,cyber1wt9h9wm3zf7yzsy68x7v8p973w02kw8yqysvrf,2760107758.0
29,cyber1ucl2c39dpwqm9pp6cvmlazn2tkwavszh5jdfj8,2575695017.0
30,cyber1cjyv02cja896rr5y5lks79enk2nretn3lchrdc,2147705260.0
31,cyber16h7tyj5p69t3r7qasunf938cx2elp38fnct947,2062295417.0
32,cyber1mnrwpdlnglhtqwa55fa66va0j3fv72nvj6xzam,1737571043.0
33,cyber16w2xwdzf6tzucpwcjjqtg9656a4kkv7gw3fhpc,205345882.0
34,cyber1g2d9xyuf7ddgaj4llxvg50pfhlsr9ehfwm5k58,154956147.0
35,cyber1fpl40sref5vp8kfm7xkqlq5qc0v4xrjvjlkdeq,53188072.0
36,cyber1hmrxmc27fu4ggdpvpxqtahn6uvtj38vucxdxch,10268322.0
37,cyber1uwfk6h06w8vnhmyp48vwcpgwncsec8yv46uan4,8204799.0
38,cyber1nuc82t22xgp09rs2tdnlxxgm95pjg5ma02a4ny,5497646.0
39,cyber15kdrahda8qcyfa9xe8kt2f737m22x2slagvfrz,3552879.0
40,cyber1ldjugf3uj2gwkmmsf5japfknf96zv6hw67a9mg,102675.0
41,cyber1n89a8avc4j7cv75lfsyynx5kazlk80arsctk38,102666.0
