,subject,comm_pool,delegation,euler-4,lifetime,load,relevance,takeoff,port,investors,inventors,sum
0,bostrom1qn8sr2hzmktlecusdtxj9hwj0upnm0jft9snar,,,,,93872815.0,,4887205664742.0,1265001729654.0,4000000000000.0,,10152301267211.0
1,bostrom16230lc9r27vrxlzd4wlvcz2l66quzj84vlkxc5,,,,,,,,,,10000000000000.0,10000000000000.0
2,bostrom1gxhs5wzam5rlgf6cs0lkme400ut64d4ncpfs2h,,,,,,,,,,10000000000000.0,10000000000000.0
3,bostrom1ttd4h585vgy29gj0xe0p338drvw9w4m4hzwj9p,,,,,,,,,4000000000000.0,,4000000000000.0
4,bostrom1qwzsnnuk2u6avvh059c9p50gqqquvcu5svvwrs,,,,,,,,,4000000000000.0,,4000000000000.0
5,bostrom1g07gj9ph0r2hjx6ffqn8vl38u4agd5mpqx9m7f,,,,,,,,,4000000000000.0,,4000000000000.0
6,bostrom1pntx8ql2v7cqxu05etg8c4v0r2vz7qnq9uqmpy,,,,,,,,,4000000000000.0,,4000000000000.0
7,bostrom1m8yf3g2m9p7danjvt4ga6vzewy380pk52kcu9z,,,,,,,,,4000000000000.0,,4000000000000.0
8,bostrom1s4czxghmh29aw2ldynk8r9lnkfccw5ph8rjpxa,,,,,,,,,4000000000000.0,,4000000000000.0
9,bostrom1t3222ju7ssu58xsm3m2xw445p94cqn2qrex3vy,,,,,,,,,2000000000000.0,,2000000000000.0
10,bostrom1edlrze5f48jjaw0wxcve4asqqf2tcjdl59ln8q,,,,,,,,,2000000000000.0,,2000000000000.0
11,bostrom10c8znaj94y900syues06dz50hw6y9qpkhunn25,,,,,,,,,400000000000.0,1000000000000.0,1400000000000.0
12,bostrom1s3lgc3mgy4ltwr796qk6j73xmau4njueds0mgu,,,,,,,1340337491769.0,,,,1340337491769.0
13,bostrom10556xtnp39nvx3ec3yjafug662pyt6af84n477,,,,,,,1304153455839.0,,,,1304153455839.0
14,bostrom17a7xxqa4drnalvv7pkxrkxqer953fdke3ulwx4,,,,,,,,,1000000000000.0,,1000000000000.0
15,bostrom10e3rqclgjz4m4fnx2c23jupcjpyuvyx3x4k7qj,,,,,,,,,1000000000000.0,,1000000000000.0
16,bostrom1ngd5w7j4u5ar5xh7vzuwqqznnhhcjmnz0s6kpu,,,,,,,,,1000000000000.0,,1000000000000.0
17,bostrom1fe5mspz9jsq6p9hqqet86dwp276635l6gacspa,,,,,,,,,1000000000000.0,,1000000000000.0
18,bostrom194pp2whvqynxnfyw5tqy8fzy2kxsugyrwsaynk,,,,,,,,,1000000000000.0,,1000000000000.0
19,bostrom1s4wntr9selfaznc2ezjkwnwt2y0terx9tqpda3,,,,,,,,,1000000000000.0,,1000000000000.0
20,bostrom1ffve0zx389ffl80ae9t8jmghcjuzdlqr5eayfd,,,,,,,701778551659.0,,,,701778551659.0
21,bostrom1ftah3e558ww7xutn5w8h7vrqa9v69pntztnr3p,,,,,,,622444466499.0,,,,622444466499.0
22,bostrom14nzyt8wmx4g6zkeluelukamgsh5v4xgnc25k6j,,,,,,,108729659282.0,,400000000000.0,,508729659282.0
23,bostrom1sng0f47cuvx6edxaujh24wc3dvk94q0w6r6smh,,,,,3927733.0,,74217807211.0,,400000000000.0,,474221734944.0
24,bostrom1wnpak7sfawsfv9c8vqe7naxfa4g99lv77d7c0z,,,,,192458910.0,1750177336.0,469321209467.0,658125569.0,,,471921971282.0
25,bostrom1quchyywzdxp62dq3rwan8fg35v6j58sjwnfpuu,400000000000.0,,,,,32771825520.0,,,,,432771825520.0
26,bostrom1mcslqq8ghtuf6xu987qtk64shy6rd86a2xtwu8,,,,,,,,,400000000000.0,,400000000000.0
27,bostrom1679yrs8dmska7wcsawgy2m25kwucm3z0hwr74y,,,,,264078762041.0,120664978934.0,4225275377.0,,,,388969016352.0
28,bostrom1hmkqhy8ygl6tnl5g8tc503rwrmmrkjcq3lduwj,,44520253098.0,294594691430.0,27210367043.0,4614693334.0,10420579129.0,,,,,381360584034.0
29,bostrom1ymprf45c44rp9k0g2r84w2tjhsq7kalv98rgpt,,47418074597.0,249028568078.0,30517372757.0,11978014123.0,26452621959.0,,,,,365394651514.0
30,bostrom1d8754xqa9245pctlfcyv8eah468neqzn3a0y0t,,,,,7069919.0,232748525.0,,,360000000000.0,,360239818444.0
31,bostrom1sgy27lctdrc5egpvc8f02rgzml6hmmvh5wu6xk,,,,,,,359172486938.0,,,,359172486938.0
32,bostrom12psudf4rpaw4jwhuyx3y8sejhsynae7gv53hn6,,9428419501.0,289014488663.0,21663954767.0,,,,,,,320106862931.0
33,bostrom178q202gz0093uke0jy96psyya452rt8apl4has,,,285239999451.0,,,,,,,,285239999451.0
34,bostrom1cg79pj70mgl8xlum0rw5yy6enk9jszsrzvwysn,,,,,49096661.0,,278433789365.0,947937939.0,,,279430823965.0
35,bostrom1w4tvyvf3hhpcwv9d4axa8n0mmj5d6ypvpq5mj6,,,,,,,,278432605496.0,,,278432605496.0
36,bostrom1uvqp7cqzpzjxwxlx87epgf8er9az89f9ke3rn2,268944039000.0,,,,,,,,,,268944039000.0
37,bostrom13dpy00jest96g7h5vdgvg9zpxq6xnclh5hzw5l,,,,,,,258229369437.0,,,,258229369437.0
38,bostrom1kr6udadsvdjymq6m75un4khg27t25st2jn8sag,,,255496772589.0,,,,,,,,255496772589.0
39,bostrom1mdq5r6az6z8su68zj6px88j2ukr78ea4ggkzt6,,,,,,,237448433882.0,,,,237448433882.0
40,bostrom1xk4a2u2rjt7mqu5eg8xtxk37l28r3cugkqk9lp,,,,,,,,233157212646.0,,,233157212646.0
41,bostrom177y7sqkxmvl22j632haf8y9gv0j3wedssq5m50,,20500567008.0,161772072332.0,24014339467.0,28672450.0,16249193036.0,,,,,222564844293.0
42,bostrom1w8ap0ns4d5fagjfwvph6t99uet0cwv6y6r03un,,,200997782490.0,,,,,,,,200997782490.0
43,bostrom1svm5wl5jf4p7dwemj7wh0p4egr3js6rqtlnefu,,,197153970492.0,,,,,,,,197153970492.0
44,bostrom1gnnd2eaeqpp6lsd34tnp6j0m85h6r9qg0wh3vr,,,194917719034.0,,,,,,,,194917719034.0
45,bostrom1t0hmc79ht0qja92p6qgxn3ee3a3rzqutv7thqn,,,188630461585.0,,,,,,,,188630461585.0
46,bostrom1ggc9sqvj0uhnzwxu5dyzcr05shwd2vv2guqmas,,,180243413335.0,6732817375.0,1178320.0,,,,,,186977409030.0
47,bostrom12q68xfj4r00nxnjrqk742rf0z2w6jmwaeppvr0,,,183750995527.0,,,,,,,,183750995527.0
48,bostrom1lepnu7nt05g79jtmfp2pgrpys3fjc4p74sc0l2,,,,,,,182911039870.0,,,,182911039870.0
49,bostrom1zhy7l8phhpsm2c6xl9c5arcu0z90clynluwrw5,,,161481707259.0,,,,,,,,161481707259.0
50,bostrom1d5lu67hu3lhqtw6zyv7uy4gkfpdtfnzxdu6mrq,,,,,,,157995617348.0,,,,157995617348.0
51,bostrom1zy553za8nenzukmv65240323jhuvxzym4pl6w9,,22107148994.0,,13440309740.0,44831928383.0,1160221687.0,72024951997.0,,,,153564560801.0
52,bostrom1x95keq9l9y9p7hjdt6xd8wnknrpnjsqrqhpwc9,150000000000.0,,,,,,,,,,150000000000.0
53,bostrom1k60sfzh3ecyqfv36f7zav0089077e4zk4g6mxa,,,146840247453.0,,,,,,,,146840247453.0
54,bostrom16jttzjgks48kqrhk5e68yv0gv6dt0rpw2f5pwn,,,,,,,141302079887.0,,,,141302079887.0
55,bostrom1kpep8dl93ud4wgpws3tcew6as2s36c9v3csw89,,,140997260087.0,,,,,,,,140997260087.0
56,bostrom16lvsv3w7rnhcm079v6j9eah3xd0p3pd37hl48j,,,122742180846.0,,,,,,,,122742180846.0
57,bostrom1e20hw2pqcgxvumkwn2qeeavcrswzskzjhr2aq0,,,,,785547.0,,119453574443.0,,,,119454359990.0
58,bostrom1ke7kxdn29w2lrxt9dzusa6shvmwd8xm9gxm2zf,,37576877634.0,,4443209216.0,,73420928895.0,,,,,115441015745.0
59,bostrom1mnrwpdlnglhtqwa55fa66va0j3fv72nvkz4e2x,,1737571043.0,106192910312.0,6897780406.0,1571093.0,,,,,,114829832854.0
60,bostrom1dt9lwmuq8rkngm5gajxchqhpcnavgp7md9v929,,9987047512.0,90918587064.0,10957918915.0,321681321.0,46807970.0,,,,,112232042782.0
61,bostrom15zs0cjct43xs4z4sesxcrynar5mxm82f0ykhl3,,15464386326.0,37624877989.0,20503040116.0,29730581092.0,3719085456.0,,,,,107041970979.0
62,bostrom1xvssufw8ke03halg8wgu8m994ktxz0y9vm6tqn,100000000000.0,,,,,,,,,,100000000000.0
63,bostrom1z98eg2ztdp2glyla62629nrlvczg8s7fvc0znp,100000000000.0,,,,,,,,,,100000000000.0
64,bostrom1vxxfhd8txmrq76jx3gj7sdrvg0vvqret6kxpgd,100000000000.0,,,,,,,,,,100000000000.0
65,bostrom1vtu55cc7m6yz9zfg5vqdk80f2g68petgzj9fv4,100000000000.0,,,,,,,,,,100000000000.0
66,bostrom16macu2qtc0jmqc7txvf0wkz84cycsx728ah0xc,,,,,16103705.0,55778469820.0,42201602776.0,,,,97996176301.0
67,bostrom17z2fywzrdld7qmwzpsq0atxfwcns8rp833rgxy,,,,,,,95223358775.0,,,,95223358775.0
68,bostrom1dxpm2ne0jflzr2hy9j5has6u2dvfv68calunqy,,4744433641.0,74273271492.0,15809132022.0,,,,,,,94826837155.0
69,bostrom1tu0e0ggvjtv4gvzcranjnrykac0umnf8y8fm0r,,,,,,,92010985676.0,,,,92010985676.0
70,bostrom1sltcfypwms38jjj3g38rg7ldx3e6uqrzrnkf9y,,,,,,,91965450766.0,,,,91965450766.0
71,bostrom18naxcfp2s397a2ucav2m53f003uylk3qz9fvr7,,15259397818.0,19980209562.0,26399274499.0,26611568430.0,2462577501.0,,658690702.0,,,91371718512.0
72,bostrom1en69twaxmv7xupy8lq7y539dpecx7yz8g0k8ft,,18669971823.0,35149508757.0,24919735783.0,5528676770.0,301861873.0,,,,,84569755006.0
73,bostrom12xsg4qm4k5z48s79zdsz84jlhv56kmta3vyfvl,,,74772629353.0,,,,,,,,74772629353.0
74,bostrom1f7nx65pmayfenpfwzwaamwas4ygmvalq2q2ayq,,47095487433.0,2952355930.0,20394243142.0,,,,,,,70442086505.0
