,subject,reward
0,cyber1ymprf45c44rp9k0g2r84w2tjhsq7kalvplsnkk,30517372757.0
1,cyber1hmkqhy8ygl6tnl5g8tc503rwrmmrkjcq4878e0,27210367043.0
2,cyber18naxcfp2s397a2ucav2m53f003uylk3qxa6h5r,26399274499.0
3,cyber1en69twaxmv7xupy8lq7y539dpecx7yz8vh9u7k,24919735783.0
4,cyber1argjwgcplguenq4l92ggn06wadnfrz0eucsqhd,24506572852.0
5,cyber177y7sqkxmvl22j632haf8y9gv0j3weds5c8qrj,24014339467.0
6,cyber1daxxqs56f6j5qxxtjrjkexghsmnaj66ta2rv06,23275608448.0
7,cyber12psudf4rpaw4jwhuyx3y8sejhsynae7ggvzvy8,21663954767.0
8,cyber15zs0cjct43xs4z4sesxcrynar5mxm82ftu9vgv,20503040116.0
9,cyber1f7nx65pmayfenpfwzwaamwas4ygmvalqwcexna,20394243142.0
10,cyber1njsr8tngxtygsc73mrtn5738ztkzqy7c6udvxk,17888573509.0
11,cyber1dxpm2ne0jflzr2hy9j5has6u2dvfv68ce80ghe,15809132022.0
12,cyber152m9xcx0ht7yxr5834ju7qjcyvetw8amfhxxkn,15467407648.0
13,cyber1lnkg57t7mvg5mcl7kdkevtgr9wlf6f9q0e5p8t,14835497059.0
14,cyber1zy553za8nenzukmv65240323jhuvxzym3evpec,13440309740.0
15,cyber147rnn0rxqkythj4j9ccq0kytmh7f005rhhw240,13133148758.0
16,cyber1stfw0z5nf2ncxxtrk7zndpf2dla3nh37ppm40e,11189940762.0
17,cyber1dt9lwmuq8rkngm5gajxchqhpcnavgp7mfal7ac,10957918915.0
18,cyber16h7tyj5p69t3r7qasunf938cx2elp38fnct947,10620434968.0
19,cyber1ccvpcq9ffy0qd2ca8nmmpzfamtyjfc9zhkwdsx,9472498458.0
20,cyber1cjyv02cja896rr5y5lks79enk2nretn3lchrdc,8731817017.0
21,cyber1mnfalar08dsvtwutmh43lnhx2zzmq7xhfyvzv0,8540100989.0
22,cyber1wt9h9wm3zf7yzsy68x7v8p973w02kw8yqysvrf,7777346692.0
23,cyber1ucl2c39dpwqm9pp6cvmlazn2tkwavszh5jdfj8,7109962804.0
24,cyber1mnrwpdlnglhtqwa55fa66va0j3fv72nvj6xzam,6897780406.0
25,cyber1ggc9sqvj0uhnzwxu5dyzcr05shwd2vv2vynq2d,6732817375.0
26,cyber1zeg2k7kd8qadmwd3kslwmag3erq7hqxts9wf9l,6162279773.0
27,cyber1fpl40sref5vp8kfm7xkqlq5qc0v4xrjvjlkdeq,6083030821.0
28,cyber18z9vsjffvggluxcxfqwsmrz02v37hx2e490lyh,5741693919.0
29,cyber1pswgrf5ap0kld3lpun5z4x08wh7nmgamflgnwm,5358993270.0
30,cyber19vgwu99fdawejnedgsfx8dmxuc0z4emjdxw5zg,5014404214.0
31,cyber1ke7kxdn29w2lrxt9dzusa6shvmwd8xm9v7g345,4443209216.0
32,cyber1s6v5ragv9gg3sq7j3aeqtyy82uaxv3y0s03vq6,4273801138.0
33,cyber152kqs8p7d3jy6kn4uk87ve3alkuqjgew0ftqml,4121615983.0
34,cyber1ke6pp2kq2wx74tlh5fxqgp7af6jtsna3jwc8q8,3851891784.0
35,cyber1mnqlcc7mslzxcf798acp80u2fxudsuzdhhjadd,3666902099.0
36,cyber1nuc82t22xgp09rs2tdnlxxgm95pjg5ma02a4ny,3567926892.0
37,cyber1nvr4qa7szsd3e7xfysn946gcqv5wyemlu7gakn,3297924061.0
38,cyber1402rpwdquxxkgvl740f6w69l65eau5vkyqlc2m,3246938813.0
39,cyber1nywu6z26tpcrr2kcqe8z7t235wrfkhfcd0vevt,3137937218.0
40,cyber1ldjugf3uj2gwkmmsf5japfknf96zv6hw67a9mg,2388287319.0
41,cyber1lljcf37yxh24l3v4kwqsyghwz4ywlg6u8sxduy,1970857840.0
42,cyber1hmrxmc27fu4ggdpvpxqtahn6uvtj38vucxdxch,1844228437.0
43,cyber1y6huw3naar38u4rtgqmlh9smfu93gszs0acxeu,1688512495.0
44,cyber15kdrahda8qcyfa9xe8kt2f737m22x2slagvfrz,1628053769.0
45,cyber1uwfk6h06w8vnhmyp48vwcpgwncsec8yv46uan4,1494510816.0
46,cyber1hqeqy4s039q0qcpayqcyaq5hyyvmph970xkqjw,1190379955.0
47,cyber14h099ukgvp4fm9qs0xnmljzhevrmneq6lztyu3,978084362.0
48,cyber1xhk0s2ynz2sq3ak3lr4u5gg0da4vyaxkd2ynfz,924447759.0
49,cyber1g2d9xyuf7ddgaj4llxvg50pfhlsr9ehfwm5k58,716488373.0
50,cyber14z6glatrayal5j53632kcefskyge6ujmvgym73,327466267.0
51,cyber16w2xwdzf6tzucpwcjjqtg9656a4kkv7gw3fhpc,252779909.0
52,cyber14n625exc6ftee3t6tez3hj47lv49amjzet86p7,236797768.0
53,cyber1fhj7pkuvwflr7z7ngp2v9tj7g58aq2tjv5nj20,135097195.0
54,cyber1l4krahjfp87exsmumzpnrfeaer2gsghpckyjk8,112519320.0
55,cyber1my32szlwazg9x56xqvsvtp0hqvpzm0r4cf9w2y,92845309.0
56,cyber1n89a8avc4j7cv75lfsyynx5kazlk80arsctk38,40897910.0
