subject,reward
cyber1679yrs8dmska7wcsawgy2m25kwucm3z0nks9ze,120664978934.0
cyber1ke7kxdn29w2lrxt9dzusa6shvmwd8xm9v7g345,73420928895.0
cyber16macu2qtc0jmqc7txvf0wkz84cycsx72r9y539,55778469820.0
cyber1x7wp0u877dkw7m84jv54c9g6zpd5r8t2hrx9lw,33812731064.0
cyber1quchyywzdxp62dq3rwan8fg35v6j58sj2t66tp,32771825520.0
cyber1gss7y04dky2fykck4dyp0pe39wxawlxmw8ul9h,28704261935.0
cyber1ymprf45c44rp9k0g2r84w2tjhsq7kalvplsnkk,26452621959.0
cyber1cerh237zd5rdexptjw8ryhwdf2tc9eupxxrjyj,20918517127.0
cyber177y7sqkxmvl22j632haf8y9gv0j3weds5c8qrj,16249193036.0
cyber1fz799u9jc0umceng3nkjt0njxy6y3550ccup9w,14973655085.0
cyber1wzqyjejz5px38vgqsegafrcexl3963q9fgmmqc,13098969682.0
cyber1evz2xfd6sam0kzz5qc5lje4s90vcgyyrx6x9kx,11323309556.0
cyber1mzmzlzk4xpm6zy68c43e6hen98w07yhfa40ql4,10780033350.0
cyber1hmkqhy8ygl6tnl5g8tc503rwrmmrkjcq4878e0,10420579129.0
cyber1udal5nr3lz7mg7j7k79se4rz0tsjj8lu8d8mjc,7057738490.0
cyber184dur4s6pldvhvcyputu6yshsm09s6wmguvsst,5728639830.0
cyber15zs0cjct43xs4z4sesxcrynar5mxm82ftu9vgv,3719085456.0
cyber1s2a7rckcky6jmhncxwy0xtwf2ymg87pujzp64l,2774105228.0
cyber18naxcfp2s397a2ucav2m53f003uylk3qxa6h5r,2462577501.0
cyber1wnpak7sfawsfv9c8vqe7naxfa4g99lv764drcl,1750177336.0
cyber1stfw0z5nf2ncxxtrk7zndpf2dla3nh37ppm40e,1635757102.0
cyber1zy553za8nenzukmv65240323jhuvxzym3evpec,1160221687.0
cyber1mj0sj4eaar5qnjn3l05ep5wgq3l6agtvgcahnt,951997050.0
cyber147rnn0rxqkythj4j9ccq0kytmh7f005rhhw240,792143948.0
cyber1sm9sq4wnn62tk5yz0x3fvvx2ea9efguq2578dg,594091324.0
cyber1gyhwacrpqwues05pkavw7xwehcqsmgruqfxekd,564067516.0
cyber1u2s32xsws9y2sskz6zvn7lawepdqxad5fqrln8,320482915.0
cyber1en69twaxmv7xupy8lq7y539dpecx7yz8vh9u7k,301861873.0
cyber1d8754xqa9245pctlfcyv8eah468neqzn49ulck,232748525.0
cyber19uryr2zuxcfdevfq429jng9a2evxwadl5wh5z9,197186458.0
cyber1n55zyf6wlvh8jp4wxqgx4ta283jx0e2nwn0slx,114773762.0
cyber19ys53t55r725j882gjcrnf7s449gdrds40evtg,70470760.0
cyber19wtkh935tx2ut2n4m6tjvkfvew4shaeex3v9wx,59855356.0
cyber1a2kn43nquua6gmr4n42htmjpceqj7fzu5023s2,52853070.0
cyber1dt9lwmuq8rkngm5gajxchqhpcnavgp7mfal7ac,46807970.0
cyber1u74s0z4ft63c6zz7g8xs62esdtdjkzuk36655k,42282456.0
