,subject,reward
145,cyber1quchyywzdxp62dq3rwan8fg35v6j58sj2t66tp,400000000000
182,cyber1x95keq9l9y9p7hjdt6xd8wnknrpnjsqry0j40c,150000000000
174,cyber1vxxfhd8txmrq76jx3gj7sdrvg0vvqret7w46ls,100000000000
199,cyber1z98eg2ztdp2glyla62629nrlvczg8s7fgqueyu,100000000000
184,cyber1xvssufw8ke03halg8wgu8m994ktxz0y9grfshw,100000000000
173,cyber1vtu55cc7m6yz9zfg5vqdk80f2g68petgx2kjmg,100000000000
179,cyber1wnpak7sfawsfv9c8vqe7naxfa4g99lv764drcl,45500000000
157,cyber1teuan269feyw4ax94jfp4pcgrhqnn28gz73uvn,20050000000
73,cyber1edwwsevuywe3sx82sustvyx3f3cvjt44cstrle,20000000000
198,cyber1z8fyzv3mjfccvrxhckr2u3lnc0hrgrlm369js9,20000000000
52,cyber19rtverjn8kw7dzwzch2elktxgcmak6dlyyma7n,20000000000
64,cyber1d9en5u0cfaucavx848qeq4k6ywqd3z5ds9d9s2,20000000000
84,cyber1gcy4f6f2sc73aegd9r68rt2q6teekl6s22lxxu,20000000000
66,cyber1djdfq5mn3dzm9whpznczxz77s8ep2qgguva03w,20000000000
63,cyber1d6nkeqxmme3564wd889kr6cjed3asxqzk525ez,20000000000
40,cyber17ud38eyfkd800kvw3c9kl3zpvgvj296ndg3zg7,20000000000
156,cyber1tcnlvf6qhlc3x7ax2vk3vzhxhf8wy8xrh2v9as,20000000000
32,cyber16yf94eecl6h44l5w7zp75skh3rg0k4vee549dh,15000000000
55,cyber1a4mzr2y2g0cc9f0uhyeh3ftmsfxzqwxffcckf9,6001189000
89,cyber1gxyf6tsjamnavmkfk43mwfzwscn4tgfkxl9urw,5000000000
116,cyber1mlqakhlxplhlezk80lph99wcy377j9dkwc42l4,4000000000
129,cyber1pjvkddp4fmx8ym5j7s7su8kn3zuqj255f2369q,4000000000
152,cyber1ssu4wqtzvvmwcukcv7l8zxny647mdx03ahc0f0,2001189000
10,cyber12reh000lje8y20wshqmgl8tg70qggt2auxnezf,2000000000
50,cyber19lsruwa85k93ahzkdwaydyrl6ehz9dmmj9lxce,61260000
3,cyber10a9mqy8cu04nyz3nj934ck39p6u9ddjtpu8jmy,61110000
147,cyber1rc2647d9nftgwwh9n5vaw26lnjdrewc4fygps4,54168000
18,cyber14thj9udwenk5q8c5ey2urude2j54xud2ejfckv,52099000
192,cyber1ysn8jyjv464fv4wpt40vezh7d5tw05tcp550sk,51860000
95,cyber1hmdjgtv3yq4qzyuk3ynyt42sjntma8hqem269s,51560000
35,cyber17jq8ev7n4e3zv8zdek5mccvxcgxxtkwvevl4um,51219000
121,cyber1nqxwnut0hdgsn3l9zaladaft5xt9c6expcn84q,51160000
86,cyber1gfkztltd789py02jcd79dnkl252uej7xreqazu,51110000
48,cyber18ghdg8y5hx6esxm6ndw3ywgtalvkmz48xphrdl,51100000
133,cyber1pt3a6xk432vs8lp0z6ya3qhqhxks99xe3g4aha,51060000
53,cyber19wlc6vms3qkuy48wgg2dl06veahgxl475l50j0,51060000
190,cyber1ypzhtfsyuejekw0w0z207wyedqm3xqafulq8f4,51060000
123,cyber1nsffk0nt927vn7pdsk8epzjeqch3yfzkxc89kz,51010000
71,cyber1e4cnw86pl73k2sfv7uwauflfl42qzncn399lmr,51010000
83,cyber1fzkp5pux48ux72wsgls9lhxp5cq2tqsy4jyjw9,51010000
81,cyber1ftkw5j528j94cajk4rvqum3k7mhhmpvyul99n4,50000000
96,cyber1hy8dexwz6ynlnnaj8ge7jvmzs4c6qmz6q0k9g9,50000000
110,cyber1knpgev72f2empt8j8gcn24my8kdasy2lup3fwq,50000000
106,cyber1k24kf4reet2lstvmkx9a4j0r87xfuqeqnjv65l,50000000
169,cyber1v9p7ukxpw2yjk7eqm8720vkgqq5qlk7w42nn4p,50000000
172,cyber1vpp9vy0fnxxw8yk5t2cctutpfv8pprvyntp4jj,50000000
100,cyber1jet9jf456dja8vqlhk407l06yvfehwzug2wly3,50000000
175,cyber1w0u83ty3nmflg9846zmh28u0hweccs3fx3jac5,50000000
99,cyber1jcj0w0e2khy0asm7dz8883xnepzmaxyl2p399h,50000000
186,cyber1y795vkzvczrauey63vmvvcjr84l3fjhey45jx6,50000000
132,cyber1prrtyfgrw2tzj9kua5eu7tnctt474m36aum83h,50000000
94,cyber1hjz37u09vws084cvwjlr5t27wmsrzm9tl3r6tf,50000000
197,cyber1z6lhk6u25fceqylmgv65t5py0c8kclgk56gmnm,50000000
90,cyber1gywad2frusetg26dyh83cfaevacravasnup4l8,50000000
200,cyber1zcf0ph3k4p2q2pl32zqspy5f7jkgxd5s3wtkd8,50000000
202,cyber1znt56em2psvx8ylfpplcmpy5esrea08gwerh3x,50000000
203,cyber1zr9urr3m42w7pu5h5xn7rvghcdk5vtrtl3a9e5,50000000
204,cyber1zx70t5xqc8h4kmvrssdc2w82v9ksw0r8w9k723,50000000
111,cyber1l9yx676futn4h28rxupsvk7evl9s68hrc32s6n,50000000
113,cyber1m7y6qezuemqe6n535z7s80ee8zw4zg4875s0xp,50000000
115,cyber1melp9r22clnjzzudd0thvs5zzveqfjylp764rg,50000000
161,cyber1tz4yrvqlw87e74n783n0da4pttay2ypsdcfpd6,50000000
130,cyber1pkhgpslggp3t0nrwskvgczxmavg7yejfc8vz8m,50000000
138,cyber1q22fvnhna2zg2g2xm6s5587w8fvsh2zzdp2ld6,50000000
127,cyber1pe42d4gkg7smf9na6dvh5twq9hgczsag3pvasg,50000000
126,cyber1pa0rcdua5v9d4vf09ksnnl7t96nfkf3w4x9w69,50000000
125,cyber1pa0lcssmjkkycdvrhhzey5h94v34wuf9cdcv88,50000000
139,cyber1q2ajajyu0t544tudcnvk7xcznerhylz37e8hu9,50000000
140,cyber1q8ajen3vu5v5uu4czkvqasqvw827dz2nycfkcd,50000000
122,cyber1nscf69wvc0wkgqm8ma79qv8cr6j6zq3d0hcuj6,50000000
141,cyber1qc4t2q45f826cfc7k0y45ma8f5qrrfv2hwvlxv,50000000
142,cyber1qf560sekun7kjsu4r0puey5u4fn90025ddn3kh,50000000
143,cyber1qkltelhy5zsr4kfrefvwsupxyt6y9skwke79qg,50000000
151,cyber1sntt4y34tghn45vw97az7mz4vkcw8kgras96qr,50000000
119,cyber1nfdyvvjy5hum8gpgmt29d0m5y4te3ekpdu39kn,50000000
