,validator,cyb
0,cybervaloper1hmkqhy8ygl6tnl5g8tc503rwrmmrkjcq4xvhhf,294594691430
1,cybervaloper12psudf4rpaw4jwhuyx3y8sejhsynae7ggdsu2p,289014488663
2,cybervaloper178q202gz0093uke0jy96psyya452rt8a9x5uyt,285239999451
3,cybervaloper1kr6udadsvdjymq6m75un4khg27t25st2k2xmyn,255496772589
4,cybervaloper1ymprf45c44rp9k0g2r84w2tjhsq7kalvp7zrcs,249028568078
5,cybervaloper1w8ap0ns4d5fagjfwvph6t99uet0cwv6y76w69g,200997782490
6,cybervaloper1svm5wl5jf4p7dwemj7wh0p4egr3js6rq0xjjs8,197153970492
7,cybervaloper1gnnd2eaeqpp6lsd34tnp6j0m85h6r9qgthk64c,194917719034
8,cybervaloper1t0hmc79ht0qja92p6qgxn3ee3a3rzqutg82ueg,188630461585
9,cybervaloper12q68xfj4r00nxnjrqk742rf0z2w6jmwaacq865,183750995527
10,cybervaloper1ggc9sqvj0uhnzwxu5dyzcr05shwd2vv2v9psyt,180243413335
11,cybervaloper177y7sqkxmvl22j632haf8y9gv0j3weds5e4sd5,161772072332
12,cybervaloper1zhy7l8phhpsm2c6xl9c5arcu0z90clynm90gh0,161481707259
13,cybervaloper1k60sfzh3ecyqfv36f7zav0089077e4zk33mslx,146840247453
14,cybervaloper1kpep8dl93ud4wgpws3tcew6as2s36c9v4p3977,140997260087
15,cybervaloper16lvsv3w7rnhcm079v6j9eah3xd0p3pd36w777f,122742180846
16,cybervaloper1mnrwpdlnglhtqwa55fa66va0j3fv72nvjm5jna,106192910312
17,cybervaloper1dt9lwmuq8rkngm5gajxchqhpcnavgp7mfudwn7,90918587064
18,cybervaloper12xsg4qm4k5z48s79zdsz84jlhv56kmta449z4y,74772629353
19,cybervaloper1dxpm2ne0jflzr2hy9j5has6u2dvfv68cexacel,74273271492
20,cybervaloper1my32szlwazg9x56xqvsvtp0hqvpzm0r4cgh7yz,70179119586
