,subject,comm_pool,delegation,euler-4,lifetime,takeoff,sum
0,cyber1qn8sr2hzmktlecusdtxj9hwj0upnm0jf0arg27,,,,,4887205664742.0,4887205664742.0
1,cyber1s3lgc3mgy4ltwr796qk6j73xmau4njuefguqlp,,,,,1340337491769.0,1340337491769.0
2,cyber10556xtnp39nvx3ec3yjafug662pyt6afrdqwfr,,,,,1304153455839.0,1304153455839.0
3,cyber1ffve0zx389ffl80ae9t8jmghcjuzdlqrspwl7s,,,,,701778551659.0,701778551659.0
4,cyber1ftah3e558ww7xutn5w8h7vrqa9v69pntxnqcxu,,,,,622444466499.0,622444466499.0
5,cyber1wnpak7sfawsfv9c8vqe7naxfa4g99lv764drcl,45500000000.0,,,,469321209467.0,514821209467.0
6,cyber1quchyywzdxp62dq3rwan8fg35v6j58sj2t66tp,400000000000.0,,,,,400000000000.0
7,cyber1hmkqhy8ygl6tnl5g8tc503rwrmmrkjcq4878e0,,44520253098.0,294594691430.0,27210367043.0,,366325311571.0
8,cyber1sgy27lctdrc5egpvc8f02rgzml6hmmvhsk0p3t,,,,,359172486938.0,359172486938.0
9,cyber1ymprf45c44rp9k0g2r84w2tjhsq7kalvplsnkk,,47418074597.0,249028568078.0,30517372757.0,,326964015432.0
10,cyber12psudf4rpaw4jwhuyx3y8sejhsynae7ggvzvy8,,9428419501.0,289014488663.0,21663954767.0,,320106862931.0
11,cyber178q202gz0093uke0jy96psyya452rt8a98xv2d,,,285239999451.0,,,285239999451.0
12,cyber1cg79pj70mgl8xlum0rw5yy6enk9jszsrx5al8w,,,,,278433789365.0,278433789365.0
13,cyber13dpy00jest96g7h5vdgvg9zpxq6xnclhs034rz,,,,,258229369437.0,258229369437.0
14,cyber1kr6udadsvdjymq6m75un4khg27t25st2kt5t24,,,255496772589.0,,,255496772589.0
15,cyber1mdq5r6az6z8su68zj6px88j2ukr78ea4vs9eu8,,,,,237448433882.0,237448433882.0
16,cyber177y7sqkxmvl22j632haf8y9gv0j3weds5c8qrj,,20500567008.0,161772072332.0,24014339467.0,,206286978807.0
17,cyber1w8ap0ns4d5fagjfwvph6t99uet0cwv6y7mu2tw,,,200997782490.0,,,200997782490.0
18,cyber1svm5wl5jf4p7dwemj7wh0p4egr3js6rq08qz7p,,,197153970492.0,,,197153970492.0
19,cyber1gnnd2eaeqpp6lsd34tnp6j0m85h6r9qgtky2m7,,,194917719034.0,,,194917719034.0
20,cyber1t0hmc79ht0qja92p6qgxn3ee3a3rzqutgxcvhw,,,188630461585.0,,,188630461585.0
