,moniker,operator_address,precommits,consensus_pubkey,reward
0,cybernode-1,bostromvaloper1nfmvw8x37w00p3geuu8lrt3vt5kadxa57hzrqa,457570,bostromvalconspub133c8vc532kfy0es9w05eds8uvutf0wm5fmhjzkqdyjvg3mz4catqkes9jg,1672336390
1,blue_blue,bostromvaloper1ymprf45c44rp9k0g2r84w2tjhsq7kalvaayh3g,457100,bostromvalconspub1hvaatruf4ydc79fww5027c7u7preuq0q7fu7mxphf0ttj7n7vsuq55tjdc,1670618624
2,Citadel.one,bostromvaloper1argjwgcplguenq4l92ggn06wadnfrz0eq6yysn,441213,bostromvalconspub1d9hq8wlvey39ly5ukzwalk0g2nvnmdtsr2uawqjhge7s8r4sne4qqa0rul,1612554485
3,CyberObiOne,bostromvaloper1ke7kxdn29w2lrxt9dzusa6shvmwd8xm9suu4j2,440741,bostromvalconspub1qqf3343emdpg2y3dtatxujt4m2n0lfq0g9tw0pmyv7lu79umu7wqha0ffr,1610829409
4,dobry,bostromvaloper1fpl40sref5vp8kfm7xkqlq5qc0v4xrjvwazf77,427354,bostromvalconspub1xdyytfdytsrvkjhnkpn69efw7u20su6w3tkn0tv4yhdernvt349quxg0ll,1561902322
5,qwertys318,bostromvaloper1402rpwdquxxkgvl740f6w69l65eau5vkcztud9,424668,bostromvalconspub14cata7xuhmwnn8d87ddnu4aewm0a0lvjvddhhd70uwevytcu7ndqhld470,1552085473
6,Godzilla,bostromvaloper1dxpm2ne0jflzr2hy9j5has6u2dvfv68c99mvs8,423480,bostromvalconspub1q8rey6ls7lu0qsc923dve9rlx4up8vu27pnwnev4vq98x8lg9ves5e0e9c,1547743546
7,Kerman,bostromvaloper1ke6pp2kq2wx74tlh5fxqgp7af6jtsna3wvvr8e,423293,bostromvalconspub1zshf7zswjmkjghgryh8nnsngnq50037yffv8kz0nnnc8ez9llnyqq36vnp,1547060094
8,sta,bostromvaloper1hmkqhy8ygl6tnl5g8tc503rwrmmrkjcqf92r73,422988,bostromvalconspub1z4dnk3702wsrksnfsdv3adz97rzcysu8w7a3et2pyvswpce909hs6f3ut7,1545945374
9,KappaRoss | StakeAngle,bostromvaloper1g2d9xyuf7ddgaj4llxvg50pfhlsr9ehfjeqjne,419534,bostromvalconspub1yf98tt3daezaprn7753kr5du6apa7jx6p3gx38e3uej8g77wmskqxdgrsm,1533321623
10,cyberG,bostromvaloper1en69twaxmv7xupy8lq7y539dpecx7yz8s43ceg,419219,bostromvalconspub1puc5ukdqaw9vc9hnt7gfduhafdzsld6xrzw23y7a6u5z6c59u2fsl5pdfx,1532170354
11,papsan,bostromvaloper18naxcfp2s397a2ucav2m53f003uylk3q6lwnna,415427,bostromvalconspub1vt67u7659kgrn6q0jd6redp8t00ck36h88sjm3rvfmeddggzmn9qmhqnuh,1518311273
12,Nett,bostromvaloper1njsr8tngxtygsc73mrtn5738ztkzqy7cx7egpg,409911,bostromvalconspub1pgvzuvjf49xspfm6g746ekwqnus4u09kxu943knjuaxd6fsw4hvqlxmyzw,1498151281
13,web34ever ∞ DVS,bostromvaloper15zs0cjct43xs4z4sesxcrynar5mxm82fh73g0j,390892,bostromvalconspub1adju2uxmhklcj6xw69d57e2028scy29h7286duh7ygedz5weudcqh38m3y,1428640243
14,groovybear,bostromvaloper177y7sqkxmvl22j632haf8y9gv0j3wedsg6nyyv,384273,bostromvalconspub1e5vnx4cp33eht0xz7zjy70qt6nwq4874sr4580cm97p05gqsdr9sgu2nqr,1404448984
15,MindPool,bostromvaloper12ysvrknuwdr6737fnc06v875whfh52xjfrfzef,369269,bostromvalconspub1xjkf8z3jfdvamg77ncpetww2twrj8qcvl355axfpmldhlxeg6a0sysdy59,1349612051
