,moniker,operator_address,precommits,reward
0,Citadel.one,bostromvaloper1argjwgcplguenq4l92ggn06wadnfrz0eq6yysn,1068505.0,4411901366
1,groovybear,bostromvaloper177y7sqkxmvl22j632haf8y9gv0j3wedsg6nyyv,1016331.0,4196472760
2,qwertys318,bostromvaloper1402rpwdquxxkgvl740f6w69l65eau5vkcztud9,967999.0,3996907932
3,P2P.ORG - P2P Validator,bostromvaloper1daxxqs56f6j5qxxtjrjkexghsmnaj66tpghggy,956352.0,3948816987
4,CyberObiOne,bostromvaloper1ke7kxdn29w2lrxt9dzusa6shvmwd8xm9suu4j2,949738.0,3921507507
5,cyberG,bostromvaloper1en69twaxmv7xupy8lq7y539dpecx7yz8s43ceg,929367.0,3837394805
6,Godzilla,bostromvaloper1dxpm2ne0jflzr2hy9j5has6u2dvfv68c99mvs8,925264.0,3820453349
7,dobry,bostromvaloper1fpl40sref5vp8kfm7xkqlq5qc0v4xrjvwazf77,918428.0,3792227222
8,0base.vc,bostromvaloper152m9xcx0ht7yxr5834ju7qjcyvetw8am44jz3d,915144.0,3778667450
9,sta,bostromvaloper1hmkqhy8ygl6tnl5g8tc503rwrmmrkjcqf92r73,905652.0,3739474589
10,KappaRoss | StakeAngle,bostromvaloper1g2d9xyuf7ddgaj4llxvg50pfhlsr9ehfjeqjne,888710.0,3669520370
11,blue_blue,bostromvaloper1ymprf45c44rp9k0g2r84w2tjhsq7kalvaayh3g,887495.0,3664503584
12,Nett,bostromvaloper1njsr8tngxtygsc73mrtn5738ztkzqy7cx7egpg,816171.0,3370003837
13,MindPool,bostromvaloper12ysvrknuwdr6737fnc06v875whfh52xjfrfzef,753268.0,3110274746
14,goto5k,bostromvaloper10trdf5eyfcmc9graltx4hmpgznhrm7hd6adf6s,748211.0,3089394184
15,web34ever ∞ DVS,bostromvaloper15zs0cjct43xs4z4sesxcrynar5mxm82fh73g0j,745425.0,3077890675
16,CitizenCosmos,bostromvaloper1f7nx65pmayfenpfwzwaamwas4ygmvalqj6dz5r,736573.0,3041340400
17,kernelpanic,bostromvaloper15n3t80p7eseld809f7fu3s9tlcezlymk3rmt4s,732792.0,3025728495
18,papsan,bostromvaloper18naxcfp2s397a2ucav2m53f003uylk3q6lwnna,708506.0,2925450596
19,Kerman,bostromvaloper1ke6pp2kq2wx74tlh5fxqgp7af6jtsna3wvvr8e,693888.0,2865092269
20,Developer,bostromvaloper1nywu6z26tpcrr2kcqe8z7t235wrfkhfc3dcat4,669875.0,2765941598
21,borsh,bostromvaloper1mnqlcc7mslzxcf798acp80u2fxudsuzdt4xe2n,582580.0,2405496930
22,cyberz,bostromvaloper1mskldfjlnup46adzss7lukfh3emm6z4lr6sfwp,561762.0,2319538547
23,POSTHUMAN,bostromvaloper1ccvpcq9ffy0qd2ca8nmmpzfamtyjfc9zt56fhc,560715.0,2315215440
24,kiwi,bostromvaloper1w4tk9lj8qtx2x4xf4emgrnq950hnlajs795qpl,522599.0,2157832899
25,AdoridNew,bostromvaloper1s8l0akn79kk74g32kf86stfsa08ck9qmr0t97n,515132.0,2127001347
26,eto_piter_detka,bostromvaloper10aqelwndkz9k8uawp26elxep64ayc5rgtsjgwz,513783.0,2121431270
27,cyberwar,bostromvaloper1ap7zhu5gxlk7n3g97dqehm9nnt3mje3nmw4xgn,508588.0,2099980900
28,bubles,bostromvaloper1j6he98h8xwnt2yp9eczhhuff3k3hvk98sedpf6,497828.0,2055552415
29,web3spring,bostromvaloper1zeg2k7kd8qadmwd3kslwmag3erq7hqxtv86dzp,474474.0,1959122782
30,CyberMan,bostromvaloper16h7tyj5p69t3r7qasunf938cx2elp38f06lpjq,449769.0,1857114815
31,DragonBall,bostromvaloper1dt9lwmuq8rkngm5gajxchqhpcnavgp7m4lt66x,411032.0,1697168138
32,medium,bostromvaloper15kl5tv0smz5h8eewu5hs9mtnusz4dereu6pemd,358265.0,1479291012
33,gilgalad,bostromvaloper1uew6fawa3ahu60tj5kspmr4u0zvljj69c0hw3n,351146.0,1449896366
34,wombat,bostromvaloper1avvkajdvmj9d8jpl0ga4scftjykeuhjpg8zfeh,339552.0,1402024260
35,space,bostromvaloper1lnkg57t7mvg5mcl7kdkevtgr9wlf6f9qnmq9q4,293381.0,1211382290
36,PLap,bostromvaloper1wm4026rxqcrkh09k806m6y4lys942etxvz4a4p,284750.0,1175744534
37,trivecta1972,bostromvaloper1hk49ws6ded79xmwehv7yrw3q6mfj7kul9npl8q,281883.0,1163906573
38,Demon King,bostromvaloper1nvr4qa7szsd3e7xfysn946gcqv5wyemlquue3d,257974.0,1065185322
39,stardust,bostromvaloper1cjyv02cja896rr5y5lks79enk2nretn3r6r82x,248099.0,1024411038
40,csaxial,bostromvaloper1ezpth4mp3eeqdt49kgqd5ctr69xev6v2s737vq,240323.0,992303613
41,Trey,bostromvaloper1wkjn2nc4v5g3tpjj043wxtmeda90ql3yc62jd0,207224.0,855636472
42,alinode,bostromvaloper1jdmfxzpnqqlhjsju3mz7qsgvvdparw5aque52f,190317.0,785826769
43,Node_masters,bostromvaloper1zy553za8nenzukmv65240323jhuvxzymdmc97x,185330.0,765235240
44,lux8.net,bostromvaloper1m0tjgkrh4td9fcp8nnssu3rfdahzfgds026q0x,173525.0,716491906
45,Adorid,bostromvaloper1mnfalar08dsvtwutmh43lnhx2zzmq7xh4xcxt3,165340.0,682695702
46,Adorid2,bostromvaloper1g36u05ehktgw5h5udj8hyudd9057d9txaeaaf2,77224.0,318861091
47,NodeMarsel,bostromvaloper1vrym7t34gs9t2dkd8z849zcymkj54kgqxm2khp,76427.0,315570246
48,24c25248318b,bostromvaloper1vx9qctuxswd6ydcv4z5pcuuvct7y9l0nc6e649,47928.0,197896695
49,Nwanne,bostromvaloper1smsn8u0h5tlvt3jazf78nnrv54aspgedaddv0x,45994.0,189911129
50,Alx,bostromvaloper175tm6fucmk0e29cfgzaud6kqgksy25p8l03dkv,6679.0,27577867
51,linak,bostromvaloper1v46pz6ddetfc3tnvdr28ss0l48jhazgytkxwga,3810.0,15731647
