,subject,reward,audience
0,bostrom178nsekn4qcdkqqmv95qlmp68kaqpga3zpsdnf4,1000000000,masters
1,bostrom13uz23f4stcg8esqvvc7d2w9psxv0dya5xaq5ne,1000000000,masters
2,bostrom19trgcp8uldtc5xtnpf0u7x7dk3t3jcp4y7cusm,1000000000,masters
3,bostrom1fn4ep44ud3edyh304ta38f55xd6pxswsw9e23z,200000000,masters
4,bostrom143dfs4ur5gjvwgx8l54jjz27rq57us0zz3hqj0,200000000,masters
5,bostrom1e3je4h3vkxywt2sf7mudelhf6zrx405yfgczkf,200000000,masters
6,bostrom180upuj8yp0326px2uys9r60xrlhpsa6fwryf80,200000000,masters
7,bostrom1jdypscylf6hjlrlva03tx5vqqkcdnllg6rpza7,200000000,masters
8,bostrom1r85972mwrka5w9ct6km58ww9jl9sh46fx559fu,200000000,masters
9,bostrom1xz2dkqrnrvq0ezc0vxtcvhwy39xr63vxzfedsr,200000000,masters
10,bostrom1smsn8u0h5tlvt3jazf78nnrv54aspged9h2nl9,200000000,masters
11,bostrom134llrhdus60n7853fn3ulmx6uy7evsx3ltzstt,200000000,masters
12,bostrom1pv5clfxxfpqvuerquue2vgr2ndgh0h50jx898c,200000000,masters
13,bostrom107v45crxqedhmf4yqa9y98v99wm2078fwtklsq,200000000,masters
14,bostrom1959r3zp37k9yuz8kjtc4feayyfkkxpcv43mu0w,200000000,masters
15,bostrom1qh6eavdzp5ffks2rvd5mjt3rdmjxg3qm5l4pw2,200000000,masters
16,bostrom1lk7m28npegzy0sz5s06sy95n27yzrj4d3rytdg,200000000,masters
17,bostrom1clk49u6rvv8c40udn9qgp0s8hv5uvfcgxqptky,200000000,masters
18,bostrom1gws6ulm3u23txc6p8kv6ew6e2zn45udrwjkdqm,200000000,masters
19,bostrom17rg7cldfsqfmv53n6r7qmjmcge7ucxx2hhum0q,200000000,masters
20,bostrom1kkwwsk0v4h7tmccr4sdmpyl2j2gvfah6jzw7n8,200000000,masters
21,bostrom1ggh3zff5paq5c3r2j34mquq9lrcc7s0nvfnuwz,200000000,masters
22,bostrom1gp5s4tetnk7ng49g58uhn2znfpmgs4cfdq4ns3,200000000,masters
23,bostrom1ejkkddkuw63zn557l0lvqq3gmjcra53ealmy2x,200000000,masters
24,bostrom1jrp04lvvpzkyylr4l7e5xp256l9yd4hdhrpmls,200000000,masters
25,bostrom14c8rllqzmgyrkt8aeyanprl7g3adrlc2flq57a,200000000,masters
26,bostrom1j39uxls4clq76ej7mk2tdskvql2tdp2zek8g89,200000000,masters
27,bostrom1qcy673rd8a27t48ry6evmv6as7fuetd8cyhnjn,200000000,masters
28,bostrom12d3klseftxsfs5xmvjju339enk8xcvg5y55qvl,200000000,masters
29,bostrom148g7gmqvw5gfj7dmpjymtsw3j7gvasflqrsyx5,200000000,masters
30,bostrom1eur22ds9gn06lgg9j3raqlzj8j2qzxx6vuje4x,200000000,masters
31,bostrom1809klqrjjrs8ch2gtf5hmmfhysspkrr894rmhm,200000000,masters
32,bostrom1f9nx8jrlx9pvns70edanu37mxtm359k606qyds,200000000,masters
33,bostrom1qgkdm2asr0qey7jafqyqlnarvgndjws23fpkrh,200000000,masters
34,bostrom1r5gvlzt03a0a9rks3s57cppmfqx2lzjrquh3d0,200000000,masters
35,bostrom1yaastlp99jvqta2x5fngdzw6zur7khctd9gk3x,200000000,masters
36,bostrom14jhjmhm2xmx6wyefju30auqvrs35hmnn2m8ewl,200000000,masters
37,bostrom10pqp6py9pqtagyde9tnkkvakg3gqsnq7lgzxnp,200000000,masters
38,bostrom1spndx95pckqnmjss6emff6fyylasg66qzdfv6v,200000000,masters
39,bostrom17qkfq2uwags5pzplrfqg2elhn9s0pfwja4mgeu,200000000,masters
40,bostrom194097avwy9a6h0cvznev232z28h96rp2q3w3uc,200000000,masters
41,bostrom1l8hx9jxul439uyjve4zn45nujtx9gmrw3za3vs,200000000,masters
42,bostrom12zmexhujvw7j82la9uslzfl5g29erpysqt555s,200000000,masters
43,bostrom12vexhfe4m9p9szsqvzsalssf8sxluj6pqx8gr3,200000000,masters
44,bostrom1ukgaegxryydqckt6fgrt60dajxq758x9pntmhh,200000000,masters
45,bostrom1756xr3jtsdve6vuwqgqdtmt6ws3td49gq7vc77,200000000,masters
46,bostrom1fn5cutfgat9s9z6nz5ucnnq9aec82wvqpevsn5,200000000,masters
47,bostrom1e63p9zdn5xks5ge9gj2y9gfkl5u0jgkvfrnhzl,200000000,masters
48,bostrom1zq9f4eczclr5cexrxdusfxxr6eumn2rlg2h4hs,200000000,masters
49,bostrom1sjtl9n7fqszta6p4w5y5yl7d4xqth26d8z2gjj,200000000,masters
50,bostrom1a4krl6m7jg7ckczk94hh0wdlcezvpgwcwkrpcg,200000000,masters
51,bostrom17lzmvgnahdncwnsx3dr7mss65qv6l9md2hy2qq,200000000,masters
52,bostrom1fe5mspz9jsq6p9hqqet86dwp276635l6gacspa,200000000,masters
53,bostrom1pljwxmmkhfrkzkdpmdjv29t6959sa77mjt0xz4,200000000,masters
54,bostrom1t9xfg2kurjlvnw86repcpte3shpgasdjge6a7t,200000000,masters
