precommits,consensus_address,consensus_pubkey
653332,bostromvalcons1y82sfwv8jvh03088339fp7t308jmf4vp6z7z9w,bostromvalconspub133c8vc532kfy0es9w05eds8uvutf0wm5fmhjzkqdyjvg3mz4catqkes9jg
649069,bostromvalcons1djaa0t8r4xzf7qf8ndk9kdz58kj22pkygnlmc0,bostromvalconspub14xdjlugaplq04qlzljh6ymvvwvs03tgctd7qrxgu74znpxcelcqswqdntg
632058,bostromvalcons1uzvvgv2pfv36q7kapl73whd25swlgjdyw3avre,bostromvalconspub1e5vnx4cp33eht0xz7zjy70qt6nwq4874sr4580cm97p05gqsdr9sgu2nqr
627292,bostromvalcons1t0v6ra4jnrakrvdqmuu45rwsrt80rdan5pwvkj,bostromvalconspub1d9hq8wlvey39ly5ukzwalk0g2nvnmdtsr2uawqjhge7s8r4sne4qqa0rul
547794,bostromvalcons1g802akc4wsvu6ugkpgqt5rcdrcnmy00k4wkuyn,bostromvalconspub162zrl7luwd7peyxlq7udw40xqp8a5wuv4fv8a9rj45u3mh05x4ms870euv
543331,bostromvalcons1dg58dufy7sdyk5qz0t0vpypwclkvxhl7s9w9tc,bostromvalconspub14cata7xuhmwnn8d87ddnu4aewm0a0lvjvddhhd70uwevytcu7ndqhld470
515132,bostromvalcons14hqsp5pevucfdjatjphs3vqfejudfk3ysjrj0p,bostromvalconspub10fvjlfe32qwzlgw6atz5na64t0jmdwp9xzn89e7n506gnz0f063sc43am9
510148,bostromvalcons15reszyylrqrp3elk06vtqhtg607prej08ckq49,bostromvalconspub1puc5ukdqaw9vc9hnt7gfduhafdzsld6xrzw23y7a6u5z6c59u2fsl5pdfx
508997,bostromvalcons1ma9nu6e0mrc9jh4jnd69c74q024kgy2rrydva0,bostromvalconspub1qqf3343emdpg2y3dtatxujt4m2n0lfq0g9tw0pmyv7lu79umu7wqha0ffr
501784,bostromvalcons1dahhf6nuwul4d0uy9vfx7qm2skxp2geq6dfkvx,bostromvalconspub1q8rey6ls7lu0qsc923dve9rlx4up8vu27pnwnev4vq98x8lg9ves5e0e9c
493321,bostromvalcons12xqex2sd7e2f5477lllng0atncf5zwc0ttv5t7,bostromvalconspub1z5tz8447msf8lu44pkj57f4cx34u40lf3d9wgxykjn0053lv7fqqdzsr29
491074,bostromvalcons16tnnsxadeajjhhxjxtqkad5pk5zqyal0leld5m,bostromvalconspub1xdyytfdytsrvkjhnkpn69efw7u20su6w3tkn0tv4yhdernvt349quxg0ll
485417,bostromvalcons1u57dczyn7yx73fpemlnjlruaztwudt2m3scru0,bostromvalconspub1t789radevc4xq3t74sxzqxsg6tuhrer8qezr533dldh60fhca3gstwp4me
