consensus_pubkey,consensus_address,precommits
bostromvalconspub106uk3jxxwk6fl9rtzqgxsv2nzlm46vdeg0wdhsj2mes3r6883r2qxmytje,bostromvalcons16763h8avzsv48r635n8m5k8c98m4ny7z7pqnsd,358265
bostromvalconspub1299scz45h89wppyz4w2lml7mz2ag0g82vpnqtzkf4xyew8zu476s5s9ldy,bostromvalcons1sdqp8mm5gh4q7j0l06ypv4q9wrf80205g9l58n,315164
bostromvalconspub133c8vc532kfy0es9w05eds8uvutf0wm5fmhjzkqdyjvg3mz4catqkes9jg,bostromvalcons1y82sfwv8jvh03088339fp7t308jmf4vp6z7z9w,457570
bostromvalconspub139xsjqlss2x77cdlzuj4kyjr9ta9njhhpeuvpdh3h2dg8u380z2qppd3lz,bostromvalcons10gv2pdxvr6mt2jauqjdrve3ghva3tg7a5ntyrf,364933
bostromvalconspub14383r8cped5s4jqaz8runfx8uygjgt0qvdwfuk46yhpsp84xcngqxwxva8,bostromvalcons18dkyyfws8fnjavdvndrgumkyd5sun7k9hr5tmz,331490
bostromvalconspub14cata7xuhmwnn8d87ddnu4aewm0a0lvjvddhhd70uwevytcu7ndqhld470,bostromvalcons1dg58dufy7sdyk5qz0t0vpypwclkvxhl7s9w9tc,424668
bostromvalconspub14ud7c34fplq88ah29f63lgenawm6d8t0tu76ve0tucr5f05rq7eqpywkm8,bostromvalcons1tte9d82sud9xx35uyhtk2e24dm0tajkh4c4uz0,101033
bostromvalconspub14xdjlugaplq04qlzljh6ymvvwvs03tgctd7qrxgu74znpxcelcqswqdntg,bostromvalcons1djaa0t8r4xzf7qf8ndk9kdz58kj22pkygnlmc0,307283
bostromvalconspub162zrl7luwd7peyxlq7udw40xqp8a5wuv4fv8a9rj45u3mh05x4ms870euv,bostromvalcons1g802akc4wsvu6ugkpgqt5rcdrcnmy00k4wkuyn,367350
bostromvalconspub165c30jr5dusj8kc2jt0qs7ycfw3lefmy79ds73druly59x079aus76svyl,bostromvalcons16a6pq3lujhlvwgrpmzef3p6knkjd4v78ux4lsv,165340
bostromvalconspub1adju2uxmhklcj6xw69d57e2028scy29h7286duh7ygedz5weudcqh38m3y,bostromvalcons1t7z8x7urgfqdem8l5dftv5rg8ts7pus3qkzcpx,390892
bostromvalconspub1c7ulvxm497q0qz7qz3xy576ers2s79hcqznvhlz0vvzcl58557pq989tw7,bostromvalcons1sam9qwcvp423y8jpgknn8n6ejj46mkdltwudzm,323380
bostromvalconspub1d9hq8wlvey39ly5ukzwalk0g2nvnmdtsr2uawqjhge7s8r4sne4qqa0rul,bostromvalcons1t0v6ra4jnrakrvdqmuu45rwsrt80rdan5pwvkj,441213
bostromvalconspub1dp7w3ulurn5ryuajkggv0xkv6vu8qgn2wr60epeeas4jhwsmxrxsagac37,bostromvalcons18f8nyhl3ps55sm9xz0phpvfhj3ytqu7vm8k8ga,351146
