,donors,distribution
0,cyber1qn8sr2hzmktlecusdtxj9hwj0upnm0jf0arg27,39977705721924
1,cyber10556xtnp39nvx3ec3yjafug662pyt6afrdqwfr,11192530348873
2,cyber1s3lgc3mgy4ltwr796qk6j73xmau4njuefguqlp,10604165973985
3,cyber1ffve0zx389ffl80ae9t8jmghcjuzdlqrspwl7s,5885312115562
4,cyber1ftah3e558ww7xutn5w8h7vrqa9v69pntxnqcxu,5500911099005
5,cyber1sgy27lctdrc5egpvc8f02rgzml6hmmvhsk0p3t,3519257582616
6,cyber1wnpak7sfawsfv9c8vqe7naxfa4g99lv764drcl,3334347438445
7,cyber13dpy00jest96g7h5vdgvg9zpxq6xnclhs034rz,1988281120122
8,cyber1cg79pj70mgl8xlum0rw5yy6enk9jszsrx5al8w,1988281120122
9,cyber1mdq5r6az6z8su68zj6px88j2ukr78ea4vs9eu8,1802708215578
10,cyber1lepnu7nt05g79jtmfp2pgrpys3fjc4p73gt5gh,1656900933435
11,cyber16jttzjgks48kqrhk5e68yv0gv6dt0rpww386ew,1325520746748
12,cyber1e20hw2pqcgxvumkwn2qeeavcrswzskzjnmexhj,1126692634736
13,cyber1d5lu67hu3lhqtw6zyv7uy4gkfpdtfnzxfyfq5a,1060416597398
14,cyber1tu0e0ggvjtv4gvzcranjnrykac0umnf8ql6qc7,828450466718
15,cyber1sltcfypwms38jjj3g38rg7ldx3e6uqrz8t9jje,825077016416
16,cyber14nzyt8wmx4g6zkeluelukamgsh5v4xgnuj8dd0,735332634258
17,cyber17z2fywzrdld7qmwzpsq0atxfwcns8rp84fsn3e,669387977108
18,cyber1zy553za8nenzukmv65240323jhuvxzym3evpec,662780256185
19,cyber1sng0f47cuvx6edxaujh24wc3dvk94q0w7mftv2,662760373374
20,cyber1lpfs6xv765u4yxr8rlyn5ux0g2a8tyt9t0rg2d,530208298699
21,cyber16macu2qtc0jmqc7txvf0wkz84cycsx72r9y539,410911431492
22,cyber1waac73cpffx7suhpkvnn8w0a8s2cgzn677expq,391028620290
23,cyber1smqr5tp684g07aekcn0w852wqlme5mn6frrgnv,338007790421
24,cyber1eqkdzfcjnu20ywju35rf3nutxzjxjaqnzc6lnl,331711566874
25,cyber1w4548vrnvc7t9j2ly55nvkjvhwqt9thndql8e8,301555969884
26,cyber133t8m00w7llsslnf05zdhehharntly8dy6jj86,300893209512
27,cyber1fapqgamx3c8za8d3z56sydjtjygyu0ly6vefs4,285649720924
28,cyber1smtmk8fe3qhlwj3h7nynl6p42946qydzgsp7mq,265104149350
29,cyber1htq7u8gy9muv4fk6st04524tdzy8rv04sj5nnd,153163922287
30,cyber1kk9clwd4eva7ww95gn4rw3xzuwfs0983588rek,152429583793
31,cyber1k7cl9ya9qq30c7m4rvg3823hrc8k80ee0clv96,132552074675
32,cyber16ahkkv0jzhtp73z83qlhqrypss6jpjm8ap96e3,132552074675
33,cyber1csf3up94qheqz88fvvlwjl7vc5sdymarjnshkn,132552074675
34,cyber1tr3eyy9l480pxjk0ygudwpfus7j8pgdlktu79x,132552074675
35,cyber16d69u47km5vqdvf6fr8qyhktlacgka7ff5we56,132552074674
36,cyber1njsr8tngxtygsc73mrtn5738ztkzqy7c6udvxk,132485798637
37,cyber1kf0d64nuwsf2zeul5wkx78fsznplnlpsd0djhn,106041659740
38,cyber18ghjkwygsvjcsh20tc5zzhfttxxuex7ap8nukd,72903641071
39,cyber1s2a7rckcky6jmhncxwy0xtwf2ymg87pujzp64l,66276037337
40,cyber1679yrs8dmska7wcsawgy2m25kwucm3z0nks9ze,39765622402
41,cyber15gk8edxtvvp372flljk884fav55y8ehw8yx8sn,20576244125
42,cyber1jz57cgfr248y9w6sn76l7pugjkr6e7zh7uen5u,20491225224
43,cyber1gw5kdey7fs9wdh05w66s0h4s24tjdvtcp5fhky,13255207466
44,cyber1kajt7sxfpnfujm7ptj90654lmwz4sftpuag6jq,11929686721
45,cyber105zy26ze9gean4qukqlvhkv4mtcndc9tw7wl6l,9907273441
46,cyber1a30w6j4m6g3s2c6zt02z56xynnuaqmn3e0aata,7290364107
47,cyber1u3ap2d4ytcqrr6jlsjf380g3lvgldq4m7dr964,6627603734
48,cyber1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4ck2hrl,6627603734
49,cyber1pmaltcu0x97x8j5klc8xluaapkzcvztchjldvn,6627603734
50,cyber1keny4peq77drtcdj6fscd9eknqcqyjmxyqsuu6,5964843360
51,cyber1kk79xcsuah7ckvunku78094gyh7900ehj8vdt7,1325520746
52,cyber137eezcxcyqgt6kshfdfuvnsdgwpujyjew85m6l,662760373
53,cyber1t575qeee3qgshuf964qal057z77vljqedacy0t,662760373
54,cyber1uz39kh64w8p5df034fh6g5hwpdq8m0h5878uqy,331380187
55,cyber1kz6s2mp4rg7plj8p4qqe2wkegn4ldw3ajjw9h9,2153971
